participant_id,scenario_label,acquisition_channel,eligibility,abuse_profile,lifecycle_status,review_disposition,rejection_reason,duplicate_of_review,review_id,review_section,wallet_ack_status,follow_up_count,synthetic
U001,acquired_only,social,eligible,clean,acquired,,,,,,not_attempted,0,true
U002,waitlisted_only,community,eligible,clean,waitlisted,,,,,,not_attempted,0,true
U003,disclosure_viewed_only,referral,eligible,clean,disclosure_viewed,,,,,,not_attempted,0,true
U004,disclosure_viewed_only,direct,eligible,clean,disclosure_viewed,,,,,,not_attempted,0,true
U005,acquired_only,partner,eligible,clean,acquired,,,,,,not_attempted,0,true
U006,waitlisted_only,other,eligible,clean,waitlisted,,,,,,not_attempted,0,true
U007,normal_qualified_acknowledged,campaign,eligible,clean,qualified,qualified,,,R-U007-1,treasury,success,1,true
U008,qualified_wallet_declined,campaign,eligible,clean,qualified,qualified,,,R-U008-1,governance,declined,0,true
U009,qualified_no_wallet,direct,eligible,clean,qualified,qualified,,,R-U009-1,roadmap,not_attempted,0,true
U010,qualified_acknowledgement_failed,social,eligible,clean,qualified,qualified,,,R-U010-1,risk_factors,failed,1,true
U011,qualified_acknowledged,direct,eligible,clean,qualified,qualified,,,R-U011-1,overview,success,0,true
U012,qualified_wallet_declined,community,eligible,clean,qualified,qualified,,,R-U012-1,participation,declined,0,true
U013,duplicate_submission,direct,eligible,clean,disqualified,duplicate,,R-U007-1,R-U013-1,treasury,not_attempted,0,true
U014,abuse_bot,social,eligible,synthetic_bot,disqualified,abuse_flagged,,,R-U014-1,treasury,not_attempted,0,true
U015,rejected_ineligible,other,ineligible,clean,disqualified,rejected,ineligible,,R-U015-1,participation,not_attempted,0,true
U016,rejected_non_substantive,campaign,eligible,clean,disqualified,rejected,non_substantive,,R-U016-1,treasury,not_attempted,0,true
U017,rejected_version_mismatch,campaign,eligible,clean,disqualified,rejected,disclosure_version_mismatch,,R-U017-1,governance,not_attempted,0,true
U018,rejected_incomplete,social,eligible,clean,disqualified,rejected,incomplete,,R-U018-1,roadmap,not_attempted,0,true
U019,rejected_no_section_reference,community,eligible,clean,disqualified,rejected,no_section_reference,,R-U019-1,nope,not_attempted,0,true
U020,normal_qualified_acknowledgement_failed,partner,eligible,clean,qualified,qualified,,,R-U020-1,treasury,failed,1,true
